frame_id,stem,product,object_id,area,aspect_ratio,number_of_grapes,ths1,ths2,ths3,ths4,rg1,rg2,rg3,rg4,ratio_upper_lower,ratio_left_right,mean_grape_area,mean_grape_ratio,percentage_bunch_area,compactness
481,4,33,406,23436,1.476,21,19,61,9,9,0,0,0,0,1.33,1.62,500.14,1.16,0.18,0.06
481,4,33,398,19950,1.535,37,0,0,10,70,0,0,0,18,1.06,0.42,83.68,1.09,0.13,0.04
481,4,33,402,20880,1.552,15,6,0,60,0,0,0,0,33,1.14,0.5,301.67,1.02,0.12,0.06
481,4,33,407,7936,1.938,29,0,3,31,65,0,0,0,0,2.22,1.42,297.14,1.07,0.14,0.05
481,4,33,413,19400,1.94,29,0,75,6,3,0,6,3,3,1.64,1.23,594.83,1.16,0.19,0.06
481,4,33,427,9940,1.972,24,0,4,66,25,0,0,0,4,2.0,1.18,280.62,1.0,0.16,0.05
481,4,33,414,40092,1.647,25,0,0,0,76,0,0,0,24,0.92,0.39,183.96,1.12,0.14,0.05
481,4,33,416,11726,1.744,40,0,2,0,95,0,0,0,2,1.22,1.0,222.8,1.1,0.25,0.05
481,4,33,423,12056,1.557,42,0,85,2,11,0,0,0,0,1.0,0.83,463.05,1.11,0.19,0.05
481,4,33,437,18590,1.536,35,0,51,8,31,0,0,0,8,1.33,0.94,399.83,1.16,0.18,0.05
481,4,33,431,17384,1.547,11,0,9,54,0,0,0,0,36,0.38,0.83,311.64,1.15,0.12,0.08
481,4,33,426,17500,1.75,35,0,5,8,82,0,0,2,0,0.94,0.84,334.06,1.12,0.18,0.05
481,4,33,436,15741,1.606,29,0,31,27,41,0,0,0,0,1.42,1.07,436.07,1.23,0.21,0.06
481,4,33,433,15105,1.674,6,0,50,50,0,0,0,0,0,0.5,1.0,418.33,1.27,0.08,0.1
481,4,33,440,17952,1.725,17,0,35,0,64,0,0,0,0,1.43,2.4,483.35,1.27,0.17,0.07
481,4,33,444,19314,1.568,24,0,100,0,0,0,0,0,0,1.18,1.67,540.88,1.12,0.18,0.06
481,4,33,441,17510,1.65,36,0,0,5,91,0,0,0,2,1.77,1.12,342.83,1.18,0.18,0.05
481,4,33,447,19775,1.549,29,0,0,6,86,0,0,0,6,1.07,1.07,247.48,1.1,0.16,0.05
481,4,33,456,19332,1.657,26,0,0,0,100,0,0,0,0,0.86,1.17,99.19,1.27,0.13,0.04
481,4,33,463,22500,1.44,19,0,0,5,89,0,0,0,5,2.17,0.9,276.11,1.31,0.16,0.06
481,4,33,482,20956,1.363,23,0,8,34,17,0,0,4,34,1.88,0.77,249.83,1.08,0.17,0.06
481,4,33,483,14820,1.642,45,0,84,6,4,0,0,0,4,0.96,1.05,389.49,1.04,0.17,0.04
481,4,33,487,25868,1.922,14,0,0,35,0,0,0,7,57,3.67,1.8,259.5,1.06,0.13,0.07
481,4,33,491,12972,1.468,48,10,10,37,22,0,4,2,12,1.0,0.78,312.46,1.06,0.2,0.04
481,4,33,502,17711,2.236,44,4,9,61,0,0,9,0,15,1.0,0.63,341.45,1.09,0.18,0.04
590,5,34,520,15435,1.4,15,0,26,46,13,0,0,0,13,1.5,0.67,342.73,1.09,0.14,0.07
590,5,34,509,15198,1.461,32,0,3,25,43,0,0,0,28,1.13,1.91,293.97,1.09,0.17,0.05
590,5,34,522,14600,1.46,19,0,31,57,5,0,0,5,0,1.71,1.38,359.0,1.09,0.15,0.07
590,5,34,525,14496,1.573,18,5,0,11,0,0,0,0,83,3.5,0.8,219.11,0.98,0.14,0.06
590,5,34,514,14550,1.546,27,0,0,7,25,0,0,7,59,1.45,1.25,199.74,1.01,0.12,0.04
590,5,34,518,15326,1.629,23,0,0,43,39,0,0,0,17,0.44,1.3,250.96,1.0,0.14,0.05
590,5,34,534,15928,2.057,26,0,3,3,69,0,0,0,23,1.89,1.0,194.27,1.18,0.18,0.06
590,5,34,521,9680,1.512,22,0,9,4,81,0,0,0,4,0.83,1.2,188.77,1.09,0.15,0.05
590,5,34,530,9480,2.633,26,0,0,3,53,0,0,0,42,1.17,1.0,123.35,1.12,0.15,0.05
590,5,34,559,7752,1.342,33,0,0,27,30,0,0,0,42,0.94,1.2,207.52,1.14,0.17,0.04
590,5,34,533,7474,1.365,36,0,0,0,47,0,0,0,52,1.12,1.77,151.11,1.09,0.13,0.04
590,5,34,555,7623,1.286,18,0,0,5,16,0,0,5,72,0.64,1.25,148.67,1.02,0.13,0.06
590,5,34,544,11448,2.208,39,0,0,23,28,0,0,0,48,1.6,0.77,193.49,1.11,0.17,0.04
590,5,34,557,15390,1.9,35,0,8,65,20,0,0,0,5,2.18,1.92,211.57,1.06,0.16,0.05
590,5,34,564,13612,1.976,21,0,0,42,33,0,0,0,23,2.0,0.75,189.71,1.0,0.13,0.05
590,5,34,560,14960,1.932,37,0,32,16,48,0,0,0,2,0.85,0.95,201.0,1.0,0.16,0.05
590,5,34,554,20497,1.932,39,0,0,0,46,0,0,0,53,2.55,1.29,102.87,1.06,0.14,0.04
590,5,34,558,19992,2.082,22,0,0,9,90,0,0,0,0,1.0,0.83,194.68,1.04,0.14,0.06
590,5,34,546,15456,1.826,29,0,0,6,79,0,0,0,13,1.23,1.23,161.69,1.05,0.17,0.05
590,5,34,596,21109,2.069,15,0,26,40,26,0,0,6,0,4.0,0.67,286.53,1.1,0.11,0.06
590,5,34,600,21539,1.521,16,0,0,0,25,0,0,0,75,1.0,1.29,153.88,1.1,0.13,0.06
590,5,34,575,17424,1.778,35,0,0,28,40,0,0,0,31,1.06,1.19,252.66,1.05,0.16,0.05
590,5,34,580,7620,2.117,40,0,0,17,40,0,0,0,42,1.35,1.22,215.08,1.08,0.17,0.04
590,5,34,586,7998,2.081,32,0,0,34,65,0,0,0,0,0.52,1.13,314.0,1.11,0.15,0.05
590,5,34,583,18327,1.211,22,0,0,13,59,0,0,4,22,1.0,1.2,201.32,1.0,0.14,0.06
590,5,34,604,16896,1.833,37,0,0,24,59,0,0,0,16,0.68,0.85,245.54,1.02,0.16,0.05
590,5,34,620,11484,1.517,5,0,0,0,80,0,0,0,20,4.0,1.5,227.6,1.15,0.05,0.11
590,5,34,593,11760,1.667,25,0,0,16,40,4,0,8,32,0.79,1.08,209.16,1.03,0.15,0.05
590,5,34,614,6210,2.13,27,0,0,62,25,0,0,0,11,1.08,1.08,206.7,1.01,0.19,0.06
590,5,34,624,12441,1.644,26,0,0,3,84,0,0,0,11,0.86,1.0,195.23,1.06,0.18,0.06
590,5,34,615,12408,1.602,27,3,3,44,40,0,0,0,7,1.45,1.08,194.22,1.14,0.15,0.05
590,5,34,621,14196,2.333,32,0,3,21,62,0,0,0,12,0.52,1.0,144.44,1.14,0.11,0.04
690,6,32,623,8925,1.587,40,0,0,22,62,0,2,0,12,1.22,1.35,151.07,1.04,0.15,0.04
690,6,32,630,12960,1.975,29,0,0,0,89,3,0,3,3,1.07,0.93,184.97,1.04,0.15,0.05
690,6,32,632,13689,2.086,27,0,0,3,92,3,0,0,0,1.25,2.0,224.74,1.09,0.18,0.06
690,6,32,638,14784,1.909,25,0,0,0,100,0,0,0,0,1.08,1.08,115.52,1.18,0.1,0.04
690,6,32,633,14976,1.385,32,0,6,46,31,0,0,0,15,1.13,0.78,189.25,1.11,0.19,0.06
690,6,32,643,15194,1.327,33,0,0,9,87,0,0,0,3,1.2,0.94,156.97,1.03,0.19,0.05
690,6,32,635,15836,1.383,28,0,10,28,50,0,0,0,10,1.33,1.15,235.18,1.08,0.16,0.05
690,6,32,652,14626,1.379,21,0,4,9,47,0,0,0,38,1.62,2.0,115.67,1.01,0.15,0.06
690,6,32,641,15301,1.336,28,0,7,14,75,0,0,0,3,1.0,0.87,253.71,1.02,0.2,0.06
690,6,32,637,15408,1.346,27,0,0,11,70,0,0,0,18,1.45,0.69,139.33,1.04,0.14,0.05
690,6,32,636,7865,1.862,30,0,0,23,50,0,0,0,26,1.0,1.0,197.37,1.06,0.17,0.05
690,6,32,645,17967,1.407,40,0,0,35,50,0,0,0,15,1.67,0.9,195.88,0.99,0.15,0.05
690,6,32,649,14620,1.977,14,0,0,50,28,0,0,0,21,1.33,1.0,190.79,1.04,0.14,0.07
690,6,32,647,17264,2.506,15,0,6,6,73,0,0,0,13,0.67,2.0,177.53,1.23,0.12,0.07
690,6,32,677,11858,2.0,14,0,14,42,14,0,0,0,28,1.8,0.75,146.93,1.13,0.12,0.07
690,6,32,682,6225,1.107,14,0,14,57,7,0,0,0,21,0.75,1.8,156.5,1.08,0.13,0.07
690,6,32,672,7020,1.154,17,0,0,35,47,0,0,5,11,1.12,1.12,250.41,1.12,0.12,0.06
690,6,32,665,5508,1.191,20,0,0,75,10,0,0,0,15,0.54,1.22,240.05,1.05,0.1,0.05
690,6,32,670,16910,1.874,12,0,0,0,16,0,0,0,83,2.0,0.71,282.33,1.05,0.13,0.08
690,6,32,673,14760,1.822,23,0,0,8,60,0,0,0,30,1.09,0.53,187.52,1.13,0.14,0.05
690,6,32,686,15400,1.989,15,0,0,33,6,0,0,6,53,1.5,0.25,227.33,1.08,0.11,0.06
690,6,32,691,14616,2.071,18,0,0,27,22,0,0,0,50,0.5,1.0,275.89,1.04,0.13,0.06
690,6,32,674,7425,1.32,27,0,0,25,18,0,0,3,51,0.93,0.93,243.81,1.05,0.16,0.05
690,6,32,675,14620,2.024,14,0,0,28,71,0,0,0,0,1.0,1.0,250.86,1.05,0.14,0.07
690,6,32,687,26304,1.401,31,0,32,35,19,0,0,0,12,1.58,1.58,400.71,1.17,0.21,0.06
690,6,32,703,27800,1.439,3,0,0,33,0,0,0,0,66,inf,2.0,251.33,1.08,0.04,0.14
690,6,32,715,12155,1.682,36,0,25,41,13,0,0,0,19,2.0,0.71,254.61,1.02,0.18,0.05
690,6,32,710,13350,1.685,30,0,86,10,3,0,0,0,0,2.0,1.14,298.2,1.08,0.19,0.06
690,6,32,711,13741,1.659,31,0,58,9,32,0,0,0,0,1.82,0.72,224.42,1.07,0.19,0.05
690,6,32,704,13706,1.73,29,0,10,3,86,0,0,0,0,0.93,1.23,209.38,1.08,0.16,0.05
814,7,27,707,15714,1.67,36,0,22,0,72,0,0,2,2,1.77,1.0,163.72,1.07,0.2,0.05
814,7,27,712,16422,1.578,43,0,41,27,25,0,0,0,4,0.95,1.87,187.4,1.07,0.16,0.04
814,7,27,717,15604,1.766,26,0,76,19,0,0,0,0,3,0.73,1.36,173.04,1.09,0.15,0.06
814,7,27,719,17613,1.66,32,0,68,3,28,0,0,0,0,1.13,0.78,143.59,1.07,0.13,0.05
814,7,27,725,14443,1.416,17,5,5,52,5,0,0,0,29,0.89,0.89,180.53,1.16,0.14,0.06
814,7,27,723,14500,1.45,29,0,0,20,62,0,0,6,10,1.64,0.81,183.07,1.07,0.12,0.05
814,7,27,730,13776,1.952,36,2,5,36,55,0,0,0,0,0.89,0.89,231.0,1.1,0.14,0.04
814,7,27,737,16905,1.533,19,0,0,21,57,0,0,0,21,1.11,0.9,150.32,1.02,0.12,0.05
814,7,27,735,18759,1.523,27,0,62,11,25,0,0,0,0,1.08,0.8,340.0,0.97,0.21,0.06
814,7,27,733,18928,1.509,27,0,0,14,70,0,0,0,14,1.25,0.69,160.11,0.99,0.14,0.05
814,7,27,755,22939,1.796,6,0,0,16,33,0,0,0,50,1.0,1.0,167.83,0.98,0.08,0.09
814,7,27,745,24805,1.694,39,0,53,15,30,0,0,0,0,1.29,1.44,369.85,1.0,0.21,0.05
814,7,27,740,25038,1.829,43,0,58,2,39,0,0,0,0,1.05,0.95,269.58,1.08,0.13,0.04
814,7,27,739,13677,1.454,24,0,0,12,75,0,0,0,12,1.4,1.0,171.58,1.11,0.11,0.05
814,7,27,750,13632,1.479,33,0,48,21,30,0,0,0,0,0.94,0.57,223.82,1.01,0.18,0.05
814,7,27,763,13206,1.527,42,0,0,0,100,0,0,0,0,1.47,1.1,162.26,1.06,0.18,0.05
814,7,27,754,18060,1.638,49,0,34,4,61,0,0,0,0,0.88,1.23,235.27,1.05,0.2,0.04
814,7,27,769,17776,1.743,23,4,8,21,52,0,0,0,13,1.88,1.09,202.57,0.99,0.15,0.05
814,7,27,762,16562,1.724,26,0,0,42,19,0,0,0,38,1.0,0.62,264.69,0.98,0.2,0.06
814,7,27,764,19116,1.373,21,0,0,47,33,0,0,0,19,1.1,1.62,171.67,1.07,0.11,0.06
814,7,27,766,18315,1.486,32,0,6,6,75,0,0,0,12,0.88,3.57,233.09,1.17,0.17,0.05
814,7,27,773,10584,1.5,20,0,0,0,100,0,0,0,0,2.33,2.33,188.05,1.02,0.12,0.06
814,7,27,792,16789,1.583,22,0,0,13,63,0,0,0,22,1.2,0.57,211.82,0.98,0.15,0.06
814,7,27,789,18711,1.909,37,0,24,5,70,0,0,0,0,0.95,0.48,272.54,1.02,0.18,0.05
814,7,27,801,24108,1.593,27,0,7,14,44,0,0,0,33,1.45,1.08,262.78,1.02,0.17,0.05
814,7,27,791,26855,1.565,24,0,0,33,54,0,0,0,12,1.67,1.0,230.17,1.06,0.13,0.06
814,7,27,790,30246,1.5,34,0,5,11,61,0,0,0,20,1.43,0.79,202.03,1.11,0.15,0.05
914,8,35,809,32116,1.466,38,0,5,23,34,0,0,10,26,0.9,1.0,183.05,1.07,0.18,0.05
914,8,35,804,13446,1.952,33,0,72,0,21,0,0,0,6,2.0,1.06,431.27,0.98,0.16,0.05
914,8,35,810,13860,1.964,15,13,73,13,0,0,0,0,0,1.5,1.14,374.0,0.98,0.19,0.08
914,8,35,806,14535,2.012,21,4,19,47,23,0,0,0,4,0.91,1.33,410.81,1.01,0.15,0.06
914,8,35,815,13600,1.882,16,0,0,56,0,0,0,0,43,0.78,1.29,367.62,1.08,0.15,0.07
914,8,35,812,14952,1.888,22,0,0,50,13,0,0,0,36,1.0,1.75,301.5,1.07,0.14,0.06
914,8,35,805,10692,1.63,27,0,3,11,7,0,3,3,70,0.5,1.45,289.19,1.15,0.14,0.05
914,8,35,818,10428,1.671,7,0,0,0,0,0,0,0,100,0.75,1.33,244.86,1.08,0.09,0.08
914,8,35,811,18360,1.574,8,0,0,0,0,0,0,0,100,0.6,0.6,225.12,1.0,0.09,0.08
914,8,35,817,9750,1.603,24,0,0,0,4,0,0,0,95,1.4,1.18,174.58,1.03,0.15,0.06
914,8,35,819,10541,1.53,14,0,0,0,0,0,0,0,100,0.75,1.0,218.21,1.06,0.14,0.08
